337,Charleston,32.7765,-79.9311,CHS,207
338,Columbia,34.0007,-81.0348,CAE,147
339,Greenville,34.8526,-82.394,GSP,150
340,Myrtle Beach,33.6891,-78.8867,MYR,187
341,Hilton Head Island,32.2163,-80.7526,HHH,211
342,Beaufort,32.4316,-80.6698,BFT,176
343,Rock Hill,34.9249,-81.0251,CLT,116
344,Aiken,33.5604,-81.7196,AGS,126
345,Anderson,34.5034,-82.6501,AND,125
346,Sumter,33.9204,-80.3415,CAE,122
347,Rapid City,44.0805,-103.231,RAP,145
348,Sioux Falls,43.5448,-96.7311,FSD,142
349,Deadwood,44.3768,-103.7298,RAP,146
350,Pierre,44.3683,-100.351,PIR,137
351,Mitchell,43.7094,-98.0298,MHE,139
352,Nashville,36.1627,-86.7816,BNA,196
353,Memphis,35.1495,-90.049,MEM,154
354,Chattanooga,35.0456,-85.3097,CHA,134
355,Knoxville,35.9606,-83.9207,TYS,126
356,Pigeon Forge,35.7884,-83.5543,TYS,148
357,Gatlinburg,35.7143,-83.5102,TYS,144
358,Houston,29.7604,-95.3698,IAH,178
359,San Antonio,29.4241,-98.4936,SAT,163
360,Dallas,32.7767,-96.797,DFW,182
361,Austin,30.2672,-97.7431,AUS,174
362,Fort Worth,32.7555,-97.3308,DFW,191
363,El Paso,31.7619,-106.485,ELP,118
364,Arlington,32.7357,-97.1081,DFW,180
365,Corpus Christi,27.8006,-97.3964,CRP,138
366,Plano,33.0198,-96.6989,DFW,130
367,Laredo,27.5306,-99.4803,LRD,110
368,Salt Lake City,40.7608,-111.891,SLC,140
369,Park City,40.6461,-111.4979,SLC,270
370,Moab,38.5733,-109.5498,CNY,150
371,St. George,37.0953,-113.5781,SGU,140
372,Provo,40.2338,-111.6585,PVU,120
373,Ogden,41.223,-111.9738,OGD,120
374,Cedar City,37.6775,-113.0619,CDC,130
375,Logan,41.7369,-111.8338,LGU,120
376,Vernal,40.4558,-109.5286,VEL,110
377,Springdale,37.1889,-113.0037,SGU,200
378,Burlington,44.4764,-73.2121,BTV,150
379,Montpelier,44.2591,-72.5754,MPV,140
380,Rutland,43.6106,-72.9726,RUT,120
381,Middlebury,44.0068,-73.1675,BTV,170
382,Stowe,44.4654,-72.6875,MVL,210
383,Richmond,37.5407,-77.436,RIC,170
384,Virginia Beach,36.8529,-75.978,ORF,170
385,Charlottesville,38.0293,-78.4767,CHO,160
386,Williamsburg,37.2707,-76.7075,PHF,160
387,Alexandria,38.8048,-77.0469,DCA,220
388,Arlington,38.8816,-77.091,DCA,200
389,Roanoke,37.271,-79.9414,ROA,130
390,Norfolk,36.8508,-76.2859,ORF,130
391,Fredericksburg,38.3032,-77.4605,NYG,150
392,Newport News,37.087082,-76.473012,PHF,110
393,Seattle,47.606209,-122.332071,SEA,140
394,Spokane,47.65878,-117.426047,GEG,100
395,Tacoma,47.252877,-122.444291,SEA,130
396,Bellevue,47.610378,-122.200678,SEA,150
